candidate_name,source,locator,region,entity_type_candidate,duplicate_check,decision,decision_reason,reviewed_by
横川・加増野の狐の嫁入りの灯,https://www.city.shimoda.shizuoka.jp/category/050201densetsu/111212.html,「狐の話」冒頭2段落,静岡県,supernatural_phenomenon,既存の同地域同現象なし,admit,灯という現象のみ索引。狐の個体同一性や安定名は主張しない,Codex
守山の火まつりの大蛇,https://www.pref.shiga.lg.jp/ab00/23243.html,「祭の起源～天皇平癒伝説～」,滋賀県,folklore_being,既存の守山大蛇記録なし,admit,祭りの由来として県が紹介する一体の大蛇。名称は説明的索引名,Codex
浅生の釜池の大蛇,https://www.town.kamiichi.toyama.jp/page/2033.html,「浅生の釜池（浅生）」姫が大蛇と語る段落,富山県,folklore_being,同ページ「大滝の大蛇」と釜池を共有,defer,大滝の蛇との同異が資料から確定しないため重複採録を保留,Codex
大滝の大蛇,https://www.town.kamiichi.toyama.jp/page/2033.html,「大滝の大蛇（大岩）」釜池と煙草谷を往来する段落,富山県,folklore_being,同ページの釜池の蛇との同異未確定,defer,場所を跨ぐ同一個体または別伝承の可能性を判定できない,Codex
中峰（迦葉山）,https://www.pref.gunma.jp/site/kougei/690381.html,中峰が天狗となる説明段落,群馬県,named_supernatural_entity,既存名・同寺院伝承なし,admit,僧の実在性は主張せず県の伝承内の名付けられた超自然的人物として索引,Codex
二つ道祖村の猿猴,https://archives.pref.yamaguchi.lg.jp/user_data/upload/File/doubutsu18.pdf,PDF 1頁②猿猴石,山口県,folklore_being,既存猿猴名なし。長蔵寺例と別村・別文献,admit,地域と一話に限定した説明的索引名。引用原冊は未照合,Codex
萩長蔵寺の猿猴,https://archives.pref.yamaguchi.lg.jp/user_data/upload/File/doubutsu18.pdf,PDF 1頁③猿猴の手形板,山口県,folklore_being,二つ道祖村例と別場所・別文献,admit,手形板の伝承に登場する一体を索引。引用原冊は未照合,Codex
龍門の滝の大蛇,https://www.pref.tochigi.lg.jp/c05/intro/tochigiken/hakken/shizen4_10.html,女釜・男釜の伝説段落,栃木県,folklore_being,既存の同滝大蛇なし,admit,大蛇伝説の主体を滝に限定。名称は説明的索引名,Codex
九万坊大権現,https://www.koutokuzan-tonji9.com/,「九万坊尊について」九万坊大権現冒頭,石川県,named_supernatural_entity,既存九万坊記録なし,admit,寺院自身が三聖の一柱として名を記す。複数地点の信仰は統合しない,Codex
百堂の渡しの河童三匹,https://www.pref.oita.jp/site/archive/201526.html,「1996年9月 NEO OITA 21号」説明,大分県,folklore_being,既存同場所なし,defer,三匹の群体を一entityにする粒度が未確定。個々の識別も不能,Codex
切込・刈込湖の毒蛇,https://www.pref.tochigi.lg.jp/c05/intro/tochigiken/hakken/shizen3_03.html,本文第1段落,栃木県,folklore_being,既存同湖記録なし,defer,県の短い説明は毒蛇を記すが超自然的主体と断定する情報が足りない,Codex
太郎天,https://www.city.bungotakada.oita.jp/uploaded/attachment/5567.pdf,「木造太郎天及二童子立像」本文10頁（PDF 11頁）胎内墨書,大分県,named_supernatural_entity,既存の太郎天・屋山尊名なし,admit,市教育委員会の文化財冊子が1130年胎内墨書の写真と尊名を報告。原物未照合,Codex
姫島浮田の大蛇,https://edit.pref.oita.jp/series/island-guide/2648/,姫島七不思議２「浮田」,大分県,folklore_being,既存の姫島浮田伝承なし,admit,一体の大蛇と田の揺れを関連付ける伝承。名称は説明的索引名,Codex
蛇島の大蛇,https://www.pref.kyoto.jp/co-kyoto/special/240417.html,【戦国期】海上交通の要所「蛇島城」島名の段落,京都府,folklore_being,既存の佐波賀・蛇島伝承なし,admit,海を渡る大蛇と退治の話を特定。島名は由来説の一つに限定,Codex
二畳ヶ滝の竜神,https://aichinow.pref.aichi.jp/features/detail/148/,二畳ヶ滝「言い伝えの残る神聖な滝」,愛知県,named_supernatural_entity,既存の二畳ヶ滝伝承なし,admit,竜神伝承を滝壺に限定。大蛇との同一性は主張しない,Codex
鞍馬寺の雄大蛇,https://www.city.kyoto.lg.jp/sakyo/page/0000024251.html,本文「月日：6月20日　場所：鞍馬寺」直下,京都府,folklore_being,既存の雌大蛇＝閼伽井護法善神と同じ話だが別の雄大蛇,admit,同一資料が雌雄二体を明示。既存source_0382を再利用,Codex
二畳ヶ滝の大蛇,https://aichinow.pref.aichi.jp/features/detail/148/,二畳ヶ滝「言い伝えの残る神聖な滝」,愛知県,folklore_being,同滝の竜神との同一性未確認,defer,同じ短い段落から二体と判定できず、別entity化を保留,Codex
窪八幡宮本殿裏の池の龍神,https://www.city.okayama.jp/shisei/0000047199.html,日本語「窪八幡宮」末段落,岡山県,named_supernatural_entity,既存同宮伝承なし,defer,龍神伝説の存在のみで個体の描写とidentityを特定できない,Codex
蛇の穴の大蛇,https://www.pref.okayama.jp/page/573741.html,主なみどころ「蛇の穴」,岡山県,folklore_being,既存同洞窟伝承なし,defer,短い説明では超自然的性質が明確でない,Codex
光源寺の飴屋の幽霊,https://www.city.nagasaki.lg.jp/nagazine/hakken0111/17/index.html,取材メモ2「産女の幽霊（飴屋の幽霊）」,長崎県,folklore_being,既存の産女は一般類型。この光源寺の井戸譚は別の地域事例,admit,地名を付けた記述的索引名。実在女性や京都の類話との同一性は未確認,Codex
片袖縁起の亡女,https://www.dainenbutsuji.com/schedule/museum/,「亡女の片袖 幽霊博物館の所以」,大阪府,folklore_being,片袖縁起・松太夫の妻の既存entityなし,admit,寺の縁起中の亡女として限定。元和3年は物語内年代であり資料年代ではない,Codex
西萱場のかっぱ松の河童,https://www.city.niigata.lg.jp/minami/kohoshi/minamikuyoukai.files/Minamikuyoukaidaizukan2.pdf,PDF 3頁「月潟地区の民話 かっぱ松」,新潟県,folklore_being,一般の河童は既存。地域事例としては未収録,defer,図鑑全体がフィクションと明記。原民話と現代創作の境界を追加資料で確認する,Codex
狐狩りの狐,https://www.city.okayama.jp/bungaku/0000081999.html,「狐狩り」本文,岡山県,folklore_being,既存狐類型はある,reject,文学作品の狐の出現だけでは独立した伝承存在を区別できない,Codex
経蔵坊,https://www.pref.tottori.lg.jp/223202.htm,資料紹介【第13回】,鳥取県,named_supernatural_entity,既存の経蔵坊・慶蔵坊・桂蔵坊なし,admit,県史だよりが別名と狐飛脚の役割を明示。別名は同一資料の明示対応のみ,Codex
曽地山左近,https://www.city.tambasasayama.lg.jp/photo_history/2/bunkazai_hubutu_huzoku/tabasasayamakankoupoint/tanbasasayamagojusantugi/13966.html,本文第3段落、相撲説話,兵庫県,named_supernatural_entity,米沢の左近と同名要素あり、土地・役割・出典が異なる,admit,丹波篠山の稲荷化身に限定。米沢の白狐左近とは統合しない,Codex
波多の天狗山の天狗,https://www.pref.tottori.lg.jp/272554.htm,語り冒頭2段落,鳥取県,folklore_being,既存の波多天狗山の採集譚なし,admit,1979年採集の地名付き事例に限定。天狗山の名称は語り本文に確認,Codex
右近・左近の白狐,https://www.city.yonezawa.yamagata.jp/category/kanko_iju/2/5196.html,「右近・左近の白狐伝説」,山形県,named_supernatural_entity,既存の米沢右近・左近なし。丹波篠山の曽地山左近とは別,defer,資料は二匹を明示するが飛脚となった一匹の名前を特定しない。ペアのentity粒度を保留,Codex
智頭町波多の子育て幽霊,https://www.pref.tottori.lg.jp/266681.htm,語り、1987-08-23採集,鳥取県,folklore_being,既存の産女類型と長崎の飴屋幽霊がある,defer,地域採集譚の匿名霊と一般話型のindex grainを確認する必要,Codex
藤内狐,https://www.pref.tottori.lg.jp/266709.htm,語り冒頭,鳥取県,named_supernatural_entity,既存entity tonai_gitsune と source_0265,reject,既収録につき重複採録を防止,Codex
